# Version 1.00
#
freq[Hz],re:Trc1_Z<-S11[Ohm],im:Trc1_Z<-S11[Ohm],
9.000000000000000E+003,1.262418466691613E+000,3.150894865026222E+001,
9.955000000000000E+003,1.598441790350511E+000,3.530359208268572E+001,
1.091000000000000E+004,1.991898428628893E+000,3.891863806047768E+001,
1.186500000000000E+004,2.407727857294896E+000,4.243897272348557E+001,
1.282000000000000E+004,2.775416268236889E+000,4.594693211841489E+001,
1.377500000000000E+004,3.178703872294891E+000,4.946304405824893E+001,
1.473000000000000E+004,3.546425094313057E+000,5.305228521910065E+001,
1.568500000000000E+004,3.940559692584157E+000,5.675270828211790E+001,
1.664000000000000E+004,4.351515749021724E+000,6.059773434470636E+001,
1.759500000000000E+004,4.812778226858483E+000,6.442110062881137E+001,
1.855000000000000E+004,5.235256974703841E+000,6.825975517133422E+001,
1.950500000000000E+004,5.734955602275311E+000,7.210226275018025E+001,
2.046000000000000E+004,6.093794465210747E+000,7.607666611172034E+001,
2.141500000000000E+004,6.607637854434985E+000,8.009688972912386E+001,
2.237000000000000E+004,7.052281422831942E+000,8.424507105127917E+001,
2.332500000000000E+004,7.571392184616916E+000,8.848934240844298E+001,
2.428000000000000E+004,8.123880200662224E+000,9.301893854900264E+001,
2.523500000000000E+004,8.596783790474660E+000,9.733507351915654E+001,
2.619000000000000E+004,8.988798621907669E+000,1.014566899056286E+002,
2.714500000000000E+004,9.445674886711752E+000,1.055237013306676E+002,
2.810000000000000E+004,9.725627937977919E+000,1.097633958262037E+002,
2.905500000000000E+004,9.934385429701329E+000,1.141330275548957E+002,
3.001000000000000E+004,1.059609607021543E+001,1.186577259400138E+002,
3.096500000000000E+004,1.112407714416271E+001,1.233226685718532E+002,
3.192000000000000E+004,1.145014624822318E+001,1.280772869619085E+002,
3.287500000000000E+004,1.226325323492535E+001,1.328396200699435E+002,
3.383000000000000E+004,1.257618038035095E+001,1.379319149342849E+002,
3.478500000000000E+004,1.331727443712293E+001,1.430585809323873E+002,
3.574000000000000E+004,1.370953320278541E+001,1.497367360871832E+002,
3.669500000000000E+004,1.418608816320442E+001,1.545835159735913E+002,
3.765000000000000E+004,1.552751540551723E+001,1.608034738300358E+002,
3.860500000000000E+004,1.629313398105424E+001,1.661533959520877E+002,
3.956000000000000E+004,1.711541436430501E+001,1.733280513109322E+002,
4.051500000000000E+004,1.766929970625758E+001,1.806771097073033E+002,
4.147000000000000E+004,1.870418328169286E+001,1.877555653819708E+002,
4.242500000000000E+004,1.991447566388774E+001,1.952867099399644E+002,
4.338000000000000E+004,2.082216724851434E+001,2.037598953198316E+002,
4.433500000000000E+004,2.252592721860546E+001,2.122113439400723E+002,
4.529000000000000E+004,2.346842558413128E+001,2.214860920247242E+002,
4.624500000000000E+004,2.533428621500747E+001,2.317879751353462E+002,
4.720000000000000E+004,2.769026992852194E+001,2.423419386079569E+002,
4.815500000000000E+004,2.888410547392213E+001,2.543433366029907E+002,
4.911000000000000E+004,3.210659963080567E+001,2.668829318653091E+002,
5.006500000000000E+004,3.520426160126662E+001,2.779003181363858E+002,
5.102000000000000E+004,3.730164649805392E+001,2.880204231354258E+002,
5.197500000000000E+004,3.887085742860754E+001,2.995615347246092E+002,
5.293000000000000E+004,4.236787051639000E+001,3.120049125701356E+002,
5.388500000000000E+004,4.550059385789020E+001,3.241744545676173E+002,
5.484000000000000E+004,4.839204651115190E+001,3.378065216426688E+002,
5.579500000000000E+004,5.314253789461320E+001,3.532217357508586E+002,
